"date","source","cases"
2015-12-27,"confirmed",0
2016-01-03,"confirmed",0
2016-01-10,"confirmed",0
2016-01-17,"confirmed",2
2016-01-24,"confirmed",2
2016-01-31,"confirmed",0
2016-02-07,"confirmed",0
2016-02-14,"confirmed",0
2016-02-21,"confirmed",0
2016-02-28,"confirmed",0
2016-03-06,"confirmed",0
2016-03-13,"confirmed",0
2016-03-20,"confirmed",0
2016-03-27,"confirmed",2
2016-04-03,"confirmed",4
2016-04-10,"confirmed",0
2016-04-17,"confirmed",0
2016-04-24,"confirmed",0
2016-05-01,"confirmed",2
2016-05-08,"confirmed",0
2016-05-15,"confirmed",6
2016-05-22,"confirmed",6
2016-05-29,"confirmed",6
2016-06-05,"confirmed",4
2016-06-12,"confirmed",4
2016-06-19,"confirmed",2
2016-06-26,"confirmed",10
2016-07-03,"confirmed",10
2016-07-10,"confirmed",4
2016-07-17,"confirmed",2
2016-07-24,"confirmed",0
2016-07-31,"confirmed",6
2016-08-07,"confirmed",4
2016-08-14,"confirmed",2
2016-08-21,"confirmed",0
2016-08-28,"confirmed",2
2016-09-04,"confirmed",0
2016-09-11,"confirmed",0
2016-09-18,"confirmed",12
2016-09-25,"confirmed",0
2016-10-02,"confirmed",0
2016-10-09,"confirmed",2
2016-10-16,"confirmed",6
2016-10-23,"confirmed",0
2016-10-30,"confirmed",6
2016-11-06,"confirmed",8
2016-11-13,"confirmed",0
2016-11-20,"confirmed",0
2016-11-27,"confirmed",0
2016-12-04,"confirmed",2
2016-12-11,"confirmed",0
2016-12-18,"confirmed",0
2016-12-25,"confirmed",2
2017-01-01,"confirmed",2
2017-01-08,"confirmed",0
2017-01-15,"confirmed",0
2017-01-22,"confirmed",0
2017-01-29,"confirmed",0
